date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:01	49946/49946	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202017%2010:16:00%20GMT	https://p.w3layouts.com/demos/my_play/web/sports.html	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/sports.html	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:02	49926/49926	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202017%2010:16:01%20GMT	https://p.w3layouts.com/demos/my_play/web/news.html	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/news.html	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:02	47933/47933	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202017%2010:16:01%20GMT	https://p.w3layouts.com/demos/my_play/web/single.html	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/single.html	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:04	149543/149543	---M--	200	added ('OK')	image/jpeg	etag:%22d8136f-24827-520de2fc7b900%22	https://p.w3layouts.com/demos/my_play/web/images/t2.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/t2.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:05	3397/3397	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d81386-d45-520de30e9a3c0%22	https://p.w3layouts.com/demos/my_play/web/js/responsiveslides.min.js	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/js/responsiveslides.min.js	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:06	151588/151588	---M--	200	added ('OK')	image/jpeg	etag:%22d81370-25024-520de2fe63d80%22	https://p.w3layouts.com/demos/my_play/web/images/t3.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/t3.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:06	302933/302933	---M--	200	added ('OK')	image/jpeg	etag:%22d8136e-49f55-520de2fc7b900%22	https://p.w3layouts.com/demos/my_play/web/images/t1.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/t1.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:07	27874/27874	---M--	200	added ('OK')	image/jpeg	etag:%22d81308-6ce2-520de2baaddc0%22	https://p.w3layouts.com/demos/my_play/web/images/c.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/c.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:07	29367/29367	---M--	200	added ('OK')	image/jpeg	etag:%22d81309-72b7-520de2baaddc0%22	https://p.w3layouts.com/demos/my_play/web/images/c1.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/c1.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:07	25844/25844	---M--	200	added ('OK')	image/jpeg	etag:%22d8130a-64f4-520de2bc96240%22	https://p.w3layouts.com/demos/my_play/web/images/c2.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/c2.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:08	8218/8218	---M--	200	added ('OK')	image/jpeg	etag:%22d8135e-201a-520de2f1fe040%22	https://p.w3layouts.com/demos/my_play/web/images/r1.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/r1.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:08	23381/23381	---M--	200	added ('OK')	image/jpeg	etag:%22d8130b-5b55-520de2bc96240%22	https://p.w3layouts.com/demos/my_play/web/images/c3.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/c3.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:08	9197/9197	---M--	200	added ('OK')	image/jpeg	etag:%22d8135f-23ed-520de2f2f2280%22	https://p.w3layouts.com/demos/my_play/web/images/r2.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/r2.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:08	5915/5915	---M--	200	added ('OK')	image/jpeg	etag:%22d81360-171b-520de2f2f2280%22	https://p.w3layouts.com/demos/my_play/web/images/r3.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/r3.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:09	6039/6039	---M--	200	added ('OK')	image/jpeg	etag:%22d81361-1797-520de2f3e64c0%22	https://p.w3layouts.com/demos/my_play/web/images/r4.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/r4.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:09	8552/8552	---M--	200	added ('OK')	image/jpeg	etag:%22d81362-2168-520de2f3e64c0%22	https://p.w3layouts.com/demos/my_play/web/images/r5.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/r5.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:10	6554/6554	---M--	200	added ('OK')	image/jpeg	etag:%22d81363-199a-520de2f4da700%22	https://p.w3layouts.com/demos/my_play/web/images/r6.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/r6.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:10	9309/9309	---M--	200	added ('OK')	image/jpeg	etag:%22d8131f-245d-520de2c9f01c0%22	https://p.w3layouts.com/demos/my_play/web/images/g.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/g.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:11	15117/15117	---M--	200	added ('OK')	image/jpeg	etag:%22d81320-3b0d-520de2cae4400%22	https://p.w3layouts.com/demos/my_play/web/images/g1.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/g1.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:12	12773/12773	---M--	200	added ('OK')	image/jpeg	etag:%22d81321-31e5-520de2cae4400%22	https://p.w3layouts.com/demos/my_play/web/images/g2.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/g2.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:12	13764/13764	---M--	200	added ('OK')	image/jpeg	etag:%22d81322-35c4-520de2cbd8640%22	https://p.w3layouts.com/demos/my_play/web/images/g3.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/g3.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:12	10227/10227	---M--	200	added ('OK')	image/jpeg	etag:%22d8137d-27f3-520de306f91c0%22	https://p.w3layouts.com/demos/my_play/web/images/we2.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/we2.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:13	11311/11311	---M--	200	added ('OK')	image/jpeg	etag:%22d8137c-2c2f-520de30604f80%22	https://p.w3layouts.com/demos/my_play/web/images/we1.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/we1.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:13	9201/9201	---M--	200	added ('OK')	image/jpeg	etag:%22d8137f-23f1-520de307ed400%22	https://p.w3layouts.com/demos/my_play/web/images/we4.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/we4.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:14	7998/7998	---M--	200	added ('OK')	image/jpeg	etag:%22d8137e-1f3e-520de306f91c0%22	https://p.w3layouts.com/demos/my_play/web/images/we3.jpg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/images/we3.jpg	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:14	39983/39983	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202017%2010:16:13%20GMT	https://p.w3layouts.com/demos/my_play/web/about.html	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/about.html	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:14	38995/38995	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202017%2010:16:13%20GMT	https://p.w3layouts.com/demos/my_play/web/press.html	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/press.html	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:15	42631/42631	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202017%2010:16:14%20GMT	https://p.w3layouts.com/demos/my_play/web/copyright.html	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/copyright.html	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:15	35442/35442	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202017%2010:16:14%20GMT	https://p.w3layouts.com/demos/my_play/web/creators.html	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/creators.html	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:16	34267/34267	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202017%2010:16:14%20GMT	https://p.w3layouts.com/demos/my_play/web/developers.html	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/developers.html	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:16	42121/42121	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202017%2010:16:15%20GMT	https://p.w3layouts.com/demos/my_play/web/terms.html	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/terms.html	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:16	46547/46547	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202017%2010:16:15%20GMT	https://p.w3layouts.com/demos/my_play/web/privacy.html	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/privacy.html	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:17	34840/34840	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202017%2010:16:15%20GMT	https://p.w3layouts.com/demos/my_play/web/try.html	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/try.html	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:17	35951/35951	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d81381-8c6f-520de30bbdd00%22	https://p.w3layouts.com/demos/my_play/web/js/bootstrap.min.js	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/js/bootstrap.min.js	(from https://p.w3layouts.com/demos/my_play/web/)
13:16:18	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22d812ff-4e9f-520de2b30cbc0%22	https://p.w3layouts.com/demos/my_play/web/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/fonts/glyphicons-halflings-regular.eot	(from https://p.w3layouts.com/demos/my_play/web/css/bootstrap.min.css)
13:16:18	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22d812ff-4e9f-520de2b30cbc0%22	https://p.w3layouts.com/demos/my_play/web/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/fonts/glyphicons-halflings-regulard41d.eot	(from https://p.w3layouts.com/demos/my_play/web/css/bootstrap.min.css)
13:16:19	18028/18028	---MCZ	200	added ('OK')	text/plain	etag:W/%22d81303-466c-520de2b5e9280%22	https://p.w3layouts.com/demos/my_play/web/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/fonts/glyphicons-halflings-regular.woff2	(from https://p.w3layouts.com/demos/my_play/web/css/bootstrap.min.css)
13:16:19	23424/23424	---M--	200	added ('OK')	application/x-font-woff	etag:%22d81302-5b80-520de2b4f5040%22	https://p.w3layouts.com/demos/my_play/web/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/fonts/glyphicons-halflings-regular.woff	(from https://p.w3layouts.com/demos/my_play/web/css/bootstrap.min.css)
13:16:21	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d81300-1a8c2-520de2b400e00%22	https://p.w3layouts.com/demos/my_play/web/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/tube6/p.w3layouts.com/demos/my_play/web/fonts/glyphicons-halflings-regular.svg	(from https://p.w3layouts.com/demos/my_play/web/css/bootstrap.min.css)
